Data,Ora,Data Valore,Prodotto,ISIN,Descrizione,Borsa,Variazioni,,Saldo,,ID Ordine
14-04-2024,06:35,12-04-2024,,,Credito FX,,EUR,0.24,EUR,930.24,
14-04-2024,06:35,12-04-2024,,,Prelievo FX,1.0669,USD,-0.26,USD,0.00,
14-04-2024,00:15,12-04-2024,FRANKLIN RESOURCES IN,US3546131018,Ritenuta sul dividendo,,USD,-0.05,USD,0.26,
14-04-2024,00:15,12-04-2024,FRANKLIN RESOURCES IN,US3546131018,Dividendo,,USD,0.31,USD,0.31,
12-04-2024,18:00,12-04-2024,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 15,81 EUR",,,,EUR,930.00,
12-04-2024,18:00,12-04-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-15.81,EUR,914.19,
12-04-2024,07:00,11-04-2024,,,Credito FX,,EUR,15.81,EUR,930.00,
12-04-2024,07:00,11-04-2024,,,Prelievo FX,1.0753,USD,-17.00,USD,0.00,
11-04-2024,08:05,10-04-2024,FUTUREFUEL CORP. COMM,US36116M1062,Ritenuta sul dividendo,,USD,-3.00,USD,17.00,
11-04-2024,08:05,10-04-2024,FUTUREFUEL CORP. COMM,US36116M1062,Dividendo,,USD,20.00,USD,20.00,
06-04-2024,11:00,31-03-2024,,,Flatex Interest Income,,EUR,0.00,EUR,914.19,
04-04-2024,23:02,03-04-2024,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 4,7 EUR",,,,EUR,914.19,
04-04-2024,23:02,03-04-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-4.70,EUR,909.49,
03-04-2024,21:18,02-04-2024,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 0,47 EUR",,,,EUR,914.19,
03-04-2024,21:18,02-04-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.47,EUR,913.72,
03-04-2024,07:19,02-04-2024,,,Credito FX,,EUR,4.70,EUR,914.19,
03-04-2024,07:19,02-04-2024,,,Prelievo FX,1.0797,USD,-5.07,USD,0.00,
02-04-2024,08:08,01-04-2024,COCA-COLA COMPANY (THE,US1912161007,Dividendo,,USD,1.94,USD,5.07,
02-04-2024,08:08,01-04-2024,COCA-COLA COMPANY (THE,US1912161007,Ritenuta sul dividendo,,USD,-0.29,USD,3.13,
02-04-2024,07:57,01-04-2024,GLADSTONE LAND CORPORA,US3765491010,Ritenuta sul dividendo,,USD,-0.03,USD,3.42,
02-04-2024,07:57,01-04-2024,GLADSTONE LAND CORPORA,US3765491010,Dividendo,,USD,0.19,USD,3.45,
02-04-2024,07:51,01-04-2024,FNF GROUP OF FIDELITY,US31620R3030,Ritenuta sul dividendo,,USD,-0.58,USD,3.26,
02-04-2024,07:51,01-04-2024,FNF GROUP OF FIDELITY,US31620R3030,Dividendo,,USD,3.84,USD,3.84,
29-03-2024,08:18,28-03-2024,,,Credito FX,,EUR,0.47,EUR,909.49,
29-03-2024,08:18,28-03-2024,,,Prelievo FX,1.0816,USD,-0.51,USD,0.00,
29-03-2024,04:51,28-03-2024,OUTFRONT MEDIA INC. CO,US69007J1060,Dividendo,,USD,0.60,USD,0.51,
29-03-2024,04:51,28-03-2024,OUTFRONT MEDIA INC. CO,US69007J1060,Ritenuta sul dividendo,,USD,-0.09,USD,-0.09,
22-03-2024,18:00,22-03-2024,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 0,71 EUR",,,,EUR,909.02,
22-03-2024,18:00,22-03-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.71,EUR,908.31,
22-03-2024,06:51,20-03-2024,ENI .,IT0003132476,Dividendo,,EUR,0.96,EUR,909.02,
22-03-2024,06:51,20-03-2024,ENI .,IT0003132476,Ritenuta sul dividendo,,EUR,-0.25,EUR,908.06,
20-03-2024,16:30,20-03-2024,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 0,38 EUR",,,,EUR,908.31,
20-03-2024,16:30,20-03-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.38,EUR,907.93,
20-03-2024,07:05,19-03-2024,,,Credito FX,,EUR,0.38,EUR,908.31,
20-03-2024,07:05,19-03-2024,,,Prelievo FX,1.0893,USD,-0.41,USD,0.00,
19-03-2024,20:15,19-03-2024,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 1,15 EUR",,,,EUR,907.93,
19-03-2024,20:15,19-03-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.15,EUR,906.78,
19-03-2024,07:35,18-03-2024,FUTUREFUEL CORP. COMM,US36116M1062,Dividendo,,USD,0.48,USD,0.41,
19-03-2024,07:35,18-03-2024,FUTUREFUEL CORP. COMM,US36116M1062,Ritenuta sul dividendo,,USD,-0.07,USD,-0.07,
19-03-2024,07:23,18-03-2024,,,Credito FX,,EUR,1.15,EUR,907.93,
19-03-2024,07:23,18-03-2024,,,Prelievo FX,1.0901,USD,-1.25,USD,0.00,
18-03-2024,08:38,15-03-2024,REALTY INCOME CORPORAT,US7561091049,Ritenuta sul dividendo,,USD,-0.12,USD,1.25,
18-03-2024,08:38,15-03-2024,REALTY INCOME CORPORAT,US7561091049,Dividendo,,USD,0.77,USD,1.37,
18-03-2024,07:46,15-03-2024,AGNICO EAGLE MINES LIM,CA0084741085,Ritenuta sul dividendo,,USD,-0.20,USD,0.60,
18-03-2024,07:46,15-03-2024,AGNICO EAGLE MINES LIM,CA0084741085,Dividendo,,USD,0.80,USD,0.80,
06-03-2024,00:30,05-03-2024,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 1,54 EUR",,,,EUR,906.78,
06-03-2024,00:30,05-03-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.54,EUR,905.24,
05-03-2024,07:43,04-03-2024,,,Credito FX,,EUR,1.54,EUR,906.78,
05-03-2024,07:43,04-03-2024,,,Prelievo FX,1.0883,USD,-1.68,USD,0.00,
04-03-2024,20:02,04-03-2024,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 0,15 EUR",,,,EUR,905.24,
04-03-2024,20:02,04-03-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.15,EUR,905.09,
04-03-2024,07:34,01-03-2024,FORD MOTOR COMPANY COM,US3453708600,Ritenuta sul dividendo,,USD,-0.30,USD,1.68,
04-03-2024,07:34,01-03-2024,FORD MOTOR COMPANY COM,US3453708600,Dividendo,,USD,1.98,USD,1.98,
02-03-2024,07:51,01-03-2024,,,Credito FX,,EUR,0.15,EUR,905.24,
02-03-2024,07:51,01-03-2024,,,Prelievo FX,1.0865,USD,-0.16,USD,0.00,
01-03-2024,07:52,29-02-2024,GLADSTONE LAND CORPORA,US3765491010,Ritenuta sul dividendo,,USD,-0.03,USD,0.16,
01-03-2024,07:52,29-02-2024,GLADSTONE LAND CORPORA,US3765491010,Dividendo,,USD,0.19,USD,0.19,
21-02-2024,16:45,21-02-2024,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 0,22 EUR",,,,EUR,905.09,
21-02-2024,16:45,21-02-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.22,EUR,904.87,
21-02-2024,07:35,20-02-2024,,,Credito FX,,EUR,0.22,EUR,905.09,
21-02-2024,07:35,20-02-2024,,,Prelievo FX,1.0834,USD,-0.24,USD,0.00,
20-02-2024,16:02,20-02-2024,ADR ON AMBOW EDUCATION HOLDING LTD,US02322P2002,Corporate Action azione con Cash Settlement,,USD,0.24,USD,0.24,
