Data,Ora,Data Valore,Prodotto,ISIN,Descrizione,Borsa,Variazioni,,Saldo,,ID Ordine
22-05-2023,17:20,22-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.94,EUR,848.70,
20-05-2023,07:36,19-05-2023,,,Credito FX,,EUR,0.94,EUR,849.64,
20-05-2023,07:36,19-05-2023,,,Prelievo FX,1.0832,USD,-1.02,USD,0.00,
19-05-2023,06:59,18-05-2023,APPLE INC. - COMMON ST,US0378331005,Dividendo,,USD,1.20,USD,1.02,
19-05-2023,06:59,18-05-2023,APPLE INC. - COMMON ST,US0378331005,Ritenuta sul dividendo,,USD,-0.18,USD,-0.18,
17-05-2023,17:49,17-05-2023,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 0,61 EUR",,,,EUR,848.70,
17-05-2023,17:49,17-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.61,EUR,848.09,
17-05-2023,07:38,16-05-2023,,,Credito FX,,EUR,0.61,EUR,848.70,
17-05-2023,07:38,16-05-2023,,,Prelievo FX,1.0890,USD,-0.66,USD,0.00,
16-05-2023,16:50,16-05-2023,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 0,18 EUR",,,,EUR,848.09,
16-05-2023,16:50,16-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.18,EUR,847.91,
16-05-2023,07:34,15-05-2023,,,Credito FX,,EUR,0.18,EUR,848.09,
16-05-2023,07:34,15-05-2023,,,Prelievo FX,1.0901,USD,-0.20,USD,0.66,
16-05-2023,07:20,15-05-2023,REALTY INCOME CORPORAT,US7561091049,Dividendo,,USD,0.77,USD,0.86,
16-05-2023,07:20,15-05-2023,REALTY INCOME CORPORAT,US7561091049,Ritenuta sul dividendo,,USD,-0.11,USD,0.09,
15-05-2023,07:31,12-05-2023,NAVIOS MARITIME PARTNERS LP COMMON,MHY622674098,Dividendo,,USD,0.20,USD,0.20,
09-05-2023,17:04,09-05-2023,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 7,6 EUR",,,,EUR,847.91,
09-05-2023,17:04,09-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-7.60,EUR,840.31,
09-05-2023,07:34,08-05-2023,,,Credito FX,,EUR,7.60,EUR,847.91,
09-05-2023,07:34,08-05-2023,,,Prelievo FX,1.1032,USD,-8.39,USD,0.00,
08-05-2023,08:38,05-05-2023,ADR ON FINVOLUTION GROUP,US31810T1016,Ritenuta sul dividendo,,USD,1.39,USD,8.39,
08-05-2023,06:37,05-05-2023,ADR ON FINVOLUTION GROUP,US31810T1016,Dividendo,,USD,9.25,USD,7.00,
08-05-2023,06:37,05-05-2023,ADR ON FINVOLUTION GROUP,US31810T1016,Ritenuta sul dividendo,,USD,-1.39,USD,-2.25,
08-05-2023,06:37,05-05-2023,ADR ON FINVOLUTION GROUP,US31810T1016,ADR/GDR Commissione Pass-Through,,USD,-0.86,USD,-0.86,
03-05-2023,17:05,03-05-2023,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 7,06 EUR",,,,EUR,840.31,
03-05-2023,17:05,03-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-7.06,EUR,833.25,
03-05-2023,07:39,02-05-2023,,,Credito FX,,EUR,7.06,EUR,840.31,
03-05-2023,07:39,02-05-2023,,,Prelievo FX,1.1027,USD,-7.79,USD,0.00,
02-05-2023,17:19,02-05-2023,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 3,23 EUR",,,,EUR,833.25,
02-05-2023,17:19,02-05-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-3.23,EUR,830.02,
02-05-2023,07:35,01-05-2023,AT&T INC.,US00206R1023,Dividendo,,USD,9.16,USD,7.79,
02-05-2023,07:35,01-05-2023,AT&T INC.,US00206R1023,Ritenuta sul dividendo,,USD,-1.37,USD,-1.37,
02-05-2023,07:35,01-05-2023,,,Credito FX,,EUR,3.23,EUR,833.25,
02-05-2023,07:35,01-05-2023,,,Prelievo FX,1.1003,USD,-3.55,USD,0.00,
01-05-2023,07:42,28-04-2023,GLADSTONE LAND CORPORA,US3765491010,Dividendo,,USD,0.18,USD,3.55,
01-05-2023,07:42,28-04-2023,GLADSTONE LAND CORPORA,US3765491010,Ritenuta sul dividendo,,USD,-0.03,USD,3.37,
01-05-2023,07:24,28-04-2023,RITHM CAPITAL CORP,US64828T2015,Dividendo,,USD,4.00,USD,3.40,
01-05-2023,07:24,28-04-2023,RITHM CAPITAL CORP,US64828T2015,Ritenuta sul dividendo,,USD,-0.60,USD,-0.60,
18-04-2023,16:49,18-04-2023,,,Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 1 EUR,,,,EUR,830.02,
18-04-2023,16:49,18-04-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.00,EUR,829.02,
18-04-2023,07:35,17-04-2023,,,Credito FX,,EUR,0.83,EUR,830.02,
18-04-2023,07:35,17-04-2023,,,Prelievo FX,1.0953,USD,-0.91,USD,0.00,
18-04-2023,07:35,17-04-2023,,,Credito FX,,EUR,0.17,EUR,829.19,
18-04-2023,07:35,17-04-2023,,,Prelievo FX,1.4652,CAD,-0.25,CAD,0.00,
17-04-2023,07:43,14-04-2023,FRANKLIN RESOURCES IN,US3546131018,Dividendo,,USD,0.30,USD,0.91,
17-04-2023,07:43,14-04-2023,FRANKLIN RESOURCES IN,US3546131018,Ritenuta sul dividendo,,USD,-0.05,USD,0.61,
17-04-2023,07:34,14-04-2023,REALTY INCOME CORPORAT,US7561091049,Dividendo,,USD,0.77,USD,0.66,
17-04-2023,07:34,14-04-2023,REALTY INCOME CORPORAT,US7561091049,Ritenuta sul dividendo,,USD,-0.11,USD,-0.11,
17-04-2023,07:29,14-04-2023,OSISKO GOLD ROYALTIES,CA68827L1013,Dividendo,,CAD,0.33,CAD,0.25,
17-04-2023,07:29,14-04-2023,OSISKO GOLD ROYALTIES,CA68827L1013,Ritenuta sul dividendo,,CAD,-0.08,CAD,-0.08,
05-04-2023,17:34,05-04-2023,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 1,42 EUR",,,,EUR,829.02,
05-04-2023,17:34,05-04-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.42,EUR,827.60,
05-04-2023,08:38,04-04-2023,,,Credito FX,,EUR,1.42,EUR,829.02,
05-04-2023,08:38,04-04-2023,,,Prelievo FX,1.0980,USD,-1.56,USD,0.00,
05-04-2023,01:50,04-04-2023,,,"Trasferisci dal tuo conto deposito presso flatexDEGIRO Bank: 3,43 EUR",,,,EUR,827.60,
05-04-2023,01:50,04-04-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,3.43,EUR,831.03,
04-04-2023,12:19,03-04-2023,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 3,43 EUR",,,,EUR,827.60,
04-04-2023,12:19,03-04-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-3.43,EUR,824.17,
04-04-2023,07:30,03-04-2023,COCA-COLA COMPANY (THE,US1912161007,Dividendo,,USD,1.84,USD,1.56,
04-04-2023,07:30,03-04-2023,COCA-COLA COMPANY (THE,US1912161007,Ritenuta sul dividendo,,USD,-0.28,USD,-0.28,
03-04-2023,17:50,03-04-2023,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 3,43 EUR",,,,EUR,827.60,
03-04-2023,17:50,03-04-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-3.43,EUR,824.17,
02-04-2023,07:36,31-03-2023,,,Credito FX,,EUR,0.14,EUR,827.60,
02-04-2023,07:36,31-03-2023,,,Prelievo FX,1.0866,USD,-0.15,USD,0.00,
01-04-2023,20:51,31-03-2023,,,Flatex Interest Income,,EUR,0.00,EUR,827.46,
01-04-2023,07:39,31-03-2023,,,Credito FX,,EUR,3.29,EUR,827.46,
01-04-2023,07:39,31-03-2023,,,Prelievo FX,1.0866,USD,-3.57,USD,0.15,
01-04-2023,07:35,31-03-2023,GLADSTONE LAND CORPORA,US3765491010,Dividendo,,USD,0.18,USD,3.72,
01-04-2023,07:35,31-03-2023,GLADSTONE LAND CORPORA,US3765491010,Ritenuta sul dividendo,,USD,-0.03,USD,3.54,
01-04-2023,07:27,31-03-2023,FNF GROUP OF FIDELITY,US31620R3030,Dividendo,,USD,3.60,USD,3.57,
01-04-2023,07:27,31-03-2023,FNF GROUP OF FIDELITY,US31620R3030,Ritenuta sul dividendo,,USD,-0.54,USD,-0.03,
01-04-2023,07:06,31-03-2023,OUTFRONT MEDIA INC. CO,US69007J1060,Dividendo,,USD,0.60,USD,0.51,
01-04-2023,07:06,31-03-2023,OUTFRONT MEDIA INC. CO,US69007J1060,Ritenuta sul dividendo,,USD,-0.09,USD,-0.09,
23-03-2023,16:34,23-03-2023,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 0,65 EUR",,,,EUR,824.17,
23-03-2023,16:34,23-03-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.65,EUR,823.52,
23-03-2023,08:54,22-03-2023,ENI .,IT0003132476,Dividendo,,EUR,0.88,EUR,824.17,
23-03-2023,08:54,22-03-2023,ENI .,IT0003132476,Ritenuta sul dividendo,,EUR,-0.23,EUR,823.29,
22-03-2023,16:34,22-03-2023,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 1,45 EUR",,,,EUR,823.52,
22-03-2023,16:34,22-03-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.45,EUR,822.07,
22-03-2023,07:33,21-03-2023,,,Credito FX,,EUR,1.45,EUR,823.52,
22-03-2023,07:33,21-03-2023,,,Prelievo FX,1.0795,USD,-1.57,USD,0.00,
21-03-2023,14:01,01-12-2022,FNF GROUP OF FIDELITY,US31620R3030,Reinvestimento del Dividendo,,USD,10.48,USD,1.57,
21-03-2023,14:01,01-12-2022,FNF GROUP OF FIDELITY,US31620R3030,Dividendo,,USD,-10.48,USD,-8.91,
21-03-2023,14:01,01-12-2022,FNF GROUP OF FIDELITY,US31620R3030,Ritenuta sul dividendo,,USD,1.57,USD,1.57,
20-03-2023,17:34,20-03-2023,,,"Trasferisci dal tuo conto deposito presso flatexDEGIRO Bank: 1,48 EUR",,,,EUR,822.07,
20-03-2023,17:34,20-03-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,1.48,EUR,823.55,
18-03-2023,07:33,17-03-2023,,,Prelievo FX,,EUR,-1.48,EUR,822.07,
18-03-2023,07:33,17-03-2023,,,Credito FX,1.0643,USD,1.57,USD,0.00,
17-03-2023,16:51,17-03-2023,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 1,56 EUR",,,,EUR,823.55,
17-03-2023,16:51,17-03-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-1.56,EUR,821.99,
17-03-2023,15:07,14-03-2023,FNF GROUP OF FIDELITY,US31620R3030,Reinvestimento del Dividendo,,USD,-10.48,USD,-1.57,
17-03-2023,15:07,14-03-2023,FNF GROUP OF FIDELITY,US31620R3030,Dividendo,,USD,10.48,USD,8.91,
17-03-2023,15:07,14-03-2023,FNF GROUP OF FIDELITY,US31620R3030,Ritenuta sul dividendo,,USD,-1.57,USD,-1.57,
17-03-2023,07:35,16-03-2023,,,Credito FX,,EUR,1.56,EUR,823.55,
17-03-2023,07:35,16-03-2023,,,Prelievo FX,1.0637,USD,-1.66,USD,0.00,
16-03-2023,07:29,15-03-2023,REALTY INCOME CORPORAT,US7561091049,Dividendo,,USD,0.76,USD,1.66,
16-03-2023,07:29,15-03-2023,REALTY INCOME CORPORAT,US7561091049,Ritenuta sul dividendo,,USD,-0.11,USD,0.90,
16-03-2023,07:27,15-03-2023,FUTUREFUEL CORP. COMM,US36116M1062,Dividendo,,USD,0.48,USD,1.01,
16-03-2023,07:27,15-03-2023,FUTUREFUEL CORP. COMM,US36116M1062,Ritenuta sul dividendo,,USD,-0.07,USD,0.53,
16-03-2023,07:23,15-03-2023,AGNICO EAGLE MINES LIM,CA0084741085,Dividendo,,USD,0.80,USD,0.60,
16-03-2023,07:23,15-03-2023,AGNICO EAGLE MINES LIM,CA0084741085,Ritenuta sul dividendo,,USD,-0.20,USD,-0.20,
03-03-2023,17:19,03-03-2023,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 3,83 EUR",,,,EUR,821.99,
03-03-2023,17:19,03-03-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-3.83,EUR,818.16,
03-03-2023,07:37,02-03-2023,,,Credito FX,,EUR,3.83,EUR,821.99,
03-03-2023,07:37,02-03-2023,,,Prelievo FX,1.0624,USD,-4.07,USD,0.00,
02-03-2023,16:49,02-03-2023,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 0,14 EUR",,,,EUR,818.16,
02-03-2023,16:49,02-03-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.14,EUR,818.02,
02-03-2023,07:35,01-03-2023,,,Credito FX,,EUR,0.14,EUR,818.16,
02-03-2023,07:35,01-03-2023,,,Prelievo FX,1.0694,USD,-0.15,USD,4.07,
02-03-2023,07:27,01-03-2023,FORD MOTOR COMPANY COM,US3453708600,Dividendo,,USD,3.90,USD,4.22,
02-03-2023,07:27,01-03-2023,FORD MOTOR COMPANY COM,US3453708600,Ritenuta sul dividendo,,USD,-0.59,USD,0.32,
02-03-2023,07:26,01-03-2023,FORD MOTOR COMPANY COM,US3453708600,Dividendo,,USD,0.90,USD,0.91,
02-03-2023,07:26,01-03-2023,FORD MOTOR COMPANY COM,US3453708600,Ritenuta sul dividendo,,USD,-0.14,USD,0.01,
01-03-2023,07:48,28-02-2023,GLADSTONE LAND CORPORA,US3765491010,Dividendo,,USD,0.18,USD,0.15,
01-03-2023,07:48,28-02-2023,GLADSTONE LAND CORPORA,US3765491010,Ritenuta sul dividendo,,USD,-0.03,USD,-0.03,
23-02-2023,16:49,23-02-2023,,,"Trasferisci dal tuo conto deposito presso flatexDEGIRO Bank: 1,48 EUR",,,,EUR,818.02,
23-02-2023,16:49,23-02-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,1.48,EUR,819.50,
23-02-2023,07:36,22-02-2023,,,Prelievo FX,,EUR,-1.48,EUR,818.02,
23-02-2023,07:36,22-02-2023,,,Credito FX,1.0578,USD,1.57,USD,0.00,
22-02-2023,08:40,01-12-2022,FNF GROUP OF FIDELITY,US31620R3030,Reinvestimento del Dividendo,,USD,-10.48,USD,-1.57,
22-02-2023,08:40,01-12-2022,FNF GROUP OF FIDELITY,US31620R3030,Dividendo,,USD,10.48,USD,8.91,
22-02-2023,08:40,01-12-2022,FNF GROUP OF FIDELITY,US31620R3030,Ritenuta sul dividendo,,USD,-1.57,USD,-1.57,
20-02-2023,16:49,20-02-2023,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 0,91 EUR",,,,EUR,819.50,
20-02-2023,16:49,20-02-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.91,EUR,818.59,
18-02-2023,07:45,17-02-2023,,,Credito FX,,EUR,0.91,EUR,819.50,
18-02-2023,07:45,17-02-2023,,,Prelievo FX,1.0721,USD,-0.98,USD,0.00,
17-02-2023,16:49,17-02-2023,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 0,6 EUR",,,,EUR,818.59,
17-02-2023,16:49,17-02-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.60,EUR,817.99,
17-02-2023,07:38,16-02-2023,,,Credito FX,,EUR,0.60,EUR,818.59,
17-02-2023,07:38,16-02-2023,,,Prelievo FX,1.0700,USD,-0.64,USD,0.98,
17-02-2023,07:03,16-02-2023,APPLE INC. - COMMON ST,US0378331005,Dividendo,,USD,1.15,USD,1.62,
17-02-2023,07:03,16-02-2023,APPLE INC. - COMMON ST,US0378331005,Ritenuta sul dividendo,,USD,-0.17,USD,0.47,
16-02-2023,17:23,16-02-2023,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 0,19 EUR",,,,EUR,817.99,
16-02-2023,17:23,16-02-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.19,EUR,817.80,
16-02-2023,07:35,15-02-2023,,,Credito FX,,EUR,0.19,EUR,817.99,
16-02-2023,07:35,15-02-2023,,,Prelievo FX,1.0715,USD,-0.20,USD,0.64,
16-02-2023,07:24,15-02-2023,REALTY INCOME CORPORAT,US7561091049,Dividendo,,USD,0.75,USD,0.84,
16-02-2023,07:24,15-02-2023,REALTY INCOME CORPORAT,US7561091049,Ritenuta sul dividendo,,USD,-0.11,USD,0.09,
15-02-2023,07:25,14-02-2023,NAVIOS MARITIME PARTNERS LP COMMON,MHY622674098,Dividendo,,USD,0.20,USD,0.20,
03-02-2023,17:49,03-02-2023,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 7,12 EUR",,,,EUR,817.80,
03-02-2023,17:49,03-02-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-7.12,EUR,810.68,
03-02-2023,07:38,02-02-2023,,,Credito FX,,EUR,7.12,EUR,817.80,
03-02-2023,07:38,02-02-2023,,,Prelievo FX,1.0937,USD,-7.79,USD,0.00,
02-02-2023,20:19,02-02-2023,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 0,14 EUR",,,,EUR,810.68,
02-02-2023,20:19,02-02-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.14,EUR,810.54,
02-02-2023,07:41,01-02-2023,AT&T INC.,US00206R1023,Dividendo,,USD,9.16,USD,7.79,
02-02-2023,07:41,01-02-2023,AT&T INC.,US00206R1023,Ritenuta sul dividendo,,USD,-1.37,USD,-1.37,
02-02-2023,07:35,01-02-2023,,,Credito FX,,EUR,0.14,EUR,810.68,
02-02-2023,07:35,01-02-2023,,,Prelievo FX,1.1018,USD,-0.15,USD,0.00,
01-02-2023,07:28,31-01-2023,GLADSTONE LAND CORPORA,US3765491010,Dividendo,,USD,0.18,USD,0.15,
01-02-2023,07:28,31-01-2023,GLADSTONE LAND CORPORA,US3765491010,Ritenuta sul dividendo,,USD,-0.03,USD,-0.03,
31-01-2023,16:49,31-01-2023,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 3,13 EUR",,,,EUR,810.54,
31-01-2023,16:49,31-01-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-3.13,EUR,807.41,
31-01-2023,07:33,30-01-2023,,,Credito FX,,EUR,3.13,EUR,810.54,
31-01-2023,07:33,30-01-2023,,,Prelievo FX,1.0878,USD,-3.40,USD,0.00,
30-01-2023,07:27,27-01-2023,RITHM CAPITAL CORP,US64828T2015,Dividendo,,USD,4.00,USD,3.40,
30-01-2023,07:27,27-01-2023,RITHM CAPITAL CORP,US64828T2015,Ritenuta sul dividendo,,USD,-0.60,USD,-0.60,
26-01-2023,17:19,26-01-2023,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 0,3 EUR",,,,EUR,807.41,
26-01-2023,17:19,26-01-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.30,EUR,807.11,
26-01-2023,13:29,25-01-2023,ENEL .,IT0003128367,Dividendo,,EUR,0.40,EUR,807.41,
26-01-2023,13:29,25-01-2023,ENEL .,IT0003128367,Ritenuta sul dividendo,,EUR,-0.10,EUR,807.01,
25-01-2023,10:55,03-08-2022,ADR ON TURKCELL ILETISIM HIZMETLERI,US9001112047,ADR/GDR Commissione Pass-Through,,USD,0.33,USD,0.00,
25-01-2023,10:55,03-08-2022,ADR ON TURKCELL ILETISIM HIZMETLERI,US9001112047,ADR/GDR Commissione Pass-Through,,USD,-0.33,USD,-0.33,
18-01-2023,16:34,18-01-2023,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 0,17 EUR",,,,EUR,807.11,
18-01-2023,16:34,18-01-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.17,EUR,806.94,
18-01-2023,07:33,17-01-2023,,,Credito FX,,EUR,0.17,EUR,807.11,
18-01-2023,07:33,17-01-2023,,,Prelievo FX,1.4461,CAD,-0.25,CAD,0.00,
18-01-2023,03:58,16-01-2023,OSISKO GOLD ROYALTIES,CA68827L1013,Dividendo,,CAD,0.33,CAD,0.25,
18-01-2023,03:58,16-01-2023,OSISKO GOLD ROYALTIES,CA68827L1013,Ritenuta sul dividendo,,CAD,-0.08,CAD,-0.08,
17-01-2023,17:19,17-01-2023,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 0,82 EUR",,,,EUR,806.94,
17-01-2023,17:19,17-01-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.82,EUR,806.12,
17-01-2023,07:34,16-01-2023,,,Credito FX,,EUR,0.82,EUR,806.94,
17-01-2023,07:34,16-01-2023,,,Prelievo FX,1.0848,USD,-0.89,USD,0.00,
16-01-2023,07:17,13-01-2023,REALTY INCOME CORPORAT,US7561091049,Dividendo,,USD,0.75,USD,0.89,
16-01-2023,07:17,13-01-2023,REALTY INCOME CORPORAT,US7561091049,Ritenuta sul dividendo,,USD,-0.11,USD,0.14,
16-01-2023,07:06,13-01-2023,FRANKLIN RESOURCES IN,US3546131018,Dividendo,,USD,0.30,USD,0.25,
16-01-2023,07:06,13-01-2023,FRANKLIN RESOURCES IN,US3546131018,Ritenuta sul dividendo,,USD,-0.05,USD,-0.05,
12-01-2023,18:19,12-01-2023,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 9,61 EUR",,,,EUR,806.12,
12-01-2023,18:19,12-01-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-9.61,EUR,796.51,
12-01-2023,07:34,11-01-2023,,,Credito FX,,EUR,9.61,EUR,806.12,
12-01-2023,07:34,11-01-2023,,,Prelievo FX,1.0784,USD,-10.36,USD,0.00,
11-01-2023,14:07,11-01-2023,F&G ANNUITIES & LIFE,US30190A1043,Costo dell’azione,,USD,10.36,USD,10.36,
09-01-2023,09:03,14-10-2022,OSISKO GOLD ROYALTIES,CA68827L1013,Dividendo,,CAD,0.33,CAD,0.00,
09-01-2023,09:03,14-10-2022,OSISKO GOLD ROYALTIES,CA68827L1013,Ritenuta sul dividendo,,CAD,-0.08,CAD,-0.33,
09-01-2023,09:03,14-10-2022,OSISKO GOLD ROYALTIES,CA68827L1013,Dividendo,,CAD,-0.33,CAD,-0.25,
09-01-2023,09:03,14-10-2022,OSISKO GOLD ROYALTIES,CA68827L1013,Ritenuta sul dividendo,,CAD,0.08,CAD,0.08,
04-01-2023,05:36,03-01-2023,,,"Trasferisci dal tuo conto deposito presso flatexDEGIRO Bank: 7,48 EUR",,,,EUR,796.51,
04-01-2023,05:36,03-01-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,7.48,EUR,803.99,
03-01-2023,14:20,02-01-2023,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 0,48 EUR",,,,EUR,796.51,
03-01-2023,14:20,02-01-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.48,EUR,796.03,
03-01-2023,14:05,31-12-2022,,,DEGIRO Costi di connessione 2023 (TSX Venture Exchange - TSV),,EUR,-2.50,EUR,796.51,
03-01-2023,14:05,31-12-2022,,,DEGIRO Costi di connessione 2023 (New York Stock Exchange - NSY),,EUR,-2.50,EUR,799.01,
03-01-2023,14:05,31-12-2022,,,DEGIRO Costi di connessione 2023 (Nasdaq - NDQ),,EUR,-2.50,EUR,801.51,
03-01-2023,14:05,31-12-2022,,,DEGIRO Costi di connessione 2023 (NYSE American - ASE),,EUR,-2.50,EUR,804.01,
03-01-2023,07:39,02-01-2023,,,Credito FX,,EUR,3.00,EUR,806.51,
03-01-2023,07:39,02-01-2023,,,Prelievo FX,1.0693,USD,-3.21,USD,0.00,
03-01-2023,02:20,02-01-2023,,,Flatex Interest Income,,EUR,0.00,EUR,803.51,
03-01-2023,00:34,02-01-2023,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 0,48 EUR",,,,EUR,803.51,
03-01-2023,00:34,02-01-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-0.48,EUR,803.03,
02-01-2023,08:10,30-12-2022,GLADSTONE LAND CORPORA,US3765491010,Dividendo,,USD,0.18,USD,3.21,
02-01-2023,08:10,30-12-2022,GLADSTONE LAND CORPORA,US3765491010,Ritenuta sul dividendo,,USD,-0.03,USD,3.03,
02-01-2023,07:54,30-12-2022,FNF GROUP OF FIDELITY,US31620R3030,Dividendo,,USD,3.60,USD,3.06,
02-01-2023,07:54,30-12-2022,FNF GROUP OF FIDELITY,US31620R3030,Ritenuta sul dividendo,,USD,-0.54,USD,-0.54,
31-12-2022,07:34,30-12-2022,,,Credito FX,,EUR,0.48,EUR,803.51,
31-12-2022,07:34,30-12-2022,,,Prelievo FX,1.0732,USD,-0.51,USD,0.00,
31-12-2022,04:53,30-12-2022,OUTFRONT MEDIA INC. CO,US69007J1060,Dividendo,,USD,0.60,USD,0.51,
31-12-2022,04:53,30-12-2022,OUTFRONT MEDIA INC. CO,US69007J1060,Ritenuta sul dividendo,,USD,-0.09,USD,-0.09,
19-12-2022,18:34,19-12-2022,,,"Trasferisci sul tuo conto deposito presso flatexDEGIRO Bank: 2,96 EUR",,,,EUR,803.03,
19-12-2022,18:34,19-12-2022,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-2.96,EUR,800.07,
17-12-2022,08:39,16-12-2022,,,Credito FX,,EUR,2.96,EUR,803.03,
17-12-2022,08:39,16-12-2022,,,Prelievo FX,1.0613,USD,-3.14,USD,0.00,
16-12-2022,09:10,15-12-2022,AGNICO EAGLE MINES LIM,CA0084741085,Dividendo,,USD,0.80,USD,3.14,
16-12-2022,09:10,15-12-2022,AGNICO EAGLE MINES LIM,CA0084741085,Ritenuta sul dividendo,,USD,-0.20,USD,2.34,
16-12-2022,09:05,15-12-2022,COCA-COLA COMPANY (THE,US1912161007,Dividendo,,USD,1.76,USD,2.54,
16-12-2022,09:05,15-12-2022,COCA-COLA COMPANY (THE,US1912161007,Ritenuta sul dividendo,,USD,-0.26,USD,0.78,
16-12-2022,09:01,15-12-2022,FUTUREFUEL CORP. COMM,US36116M1062,Dividendo,,USD,0.48,USD,1.04,
